id,file_name,source_path,jurisdiction,court,title,relevant_law,gdpr_articles,decided,published,fine,fine_amount,fine_currency,parties,national_case_number_name,european_case_law_identifier,appeal_from,appeal_to,original_languages,original_source
DE_269,MT_VGH_München_5_CS_19.2087.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VGH_München_5_CS_19.2087.md,Germany,VGH München (Germany),VGH München – 5 CS 19.2087,"Article 4(1) GDPRArticle 6(1)(c) GDPRArticle 86 GDPRArticle 6(3) GDPRArticle 8 and 11 REGULATION (EU) 2017/625§§ 47, 52. 53, 63, 66 and 68 GKG§ 40(1a) LFGBArticle 5(1) GGArticle 19(4) GG§§ 1 - 6 VIG§§ 80, 80a, 86, 99, 108, 146, 152, 154, 162 VwGO","4,6,86",15/04/2020,,,,,Butcher shop chainPublic authority responsible for food quality control,5 CS 19.2087,,VG München (Germany)M 32 SN 19.2574,,German,BAYERN.RECHT (in German)
AT_155,MT_VGW_-_VGW-101_042_791_2020-44.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VGW_-_VGW-101_042_791_2020-44.md,Austria,VGW (Austria),VGW - VGW-101/042/791/2020-44,Article 15(1)(h) GDPRArticle 22(3) GDPRArticle 2(1) Directive 2016/943Article 47 Charter of Fundamental Rights of the European Union,22,11/02/2022,,,,,Mrs. BC. Ges.m.b.H.,VGW-101/042/791/2020-44,,BVwG (Austria)W256 2217011-1/11E,Not appealed,German,RIS (in German)
DE_270,MT_VG_Ansbach_-_14_K_19.01274.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Ansbach_-_14_K_19.01274.md,Germany,VG Ansbach (Germany),VG Ansbach - 14 K 19.01274,Article 77 GDPRArticle 78 GDPRArticle 28(4) DIRECTIVE 95/46/EC,"77,78",22/09/2021,,,,,,14 K 19.01274,,,,German,Bayern.Recht (in German)
DE_271,MT_VG_Ansbach_-_AN_14_K_19.01274.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Ansbach_-_AN_14_K_19.01274.md,Germany,VG Ansbach (Germany),VG Ansbach - AN 14 K 19.01274,Article 77 GDPRArticle 78(1) GDPRArticle 28(4) Directive 95/46/EC,"77,78",22/09/2021,,,,,Federal State of Bavaria,AN 14 K 19.01274,,,Unknown,German,Bayerische Staatskanzlei (in German)
DE_272,MT_VG_Ansbach_-_AN_14_K_19.01313.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Ansbach_-_AN_14_K_19.01313.md,Germany,VG Ansbach (Germany),VG Ansbach - AN 14 K 19.01313,Article 77 GDPRArticle 78(2) GDPR,"77,78",03/08/2023,,,,,,AN 14 K 19.01313,,,Unknown,German,Bayern.Recht (in German)
DE_273,MT_VG_Ansbach_-_AN_14_K_20.00083.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Ansbach_-_AN_14_K_20.00083.md,Germany,VG Ansbach (Germany),VG Ansbach - AN 14 K 20.00083,Article 6(1)(b) GDPRArticle 6(1)(f) GDPRArticle 58(2)(f) GDPR,,23/02/2022,,,,,Bayerisches Landesamt für Datenschutzaufsicht,AN 14 K 20.00083,ECLI:DE:VGANSBA:2022:0223.AN14K20.00083.00,,Unknown,German,openJur (in German)
DE_274,MT_VG_Ansbach_-_AN_14_K_20.00941.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Ansbach_-_AN_14_K_20.00941.md,Germany,VG Ansbach (Germany),VG Ansbach - AN 14 K 20.00941,Article 15 GDPRArticle 58(2) GDPR,"15,58",12/06/2024,15/08/2024,,,,Bayerischen Landesamtes für Datenschutzaufsicht,AN 14 K 20.00941,,,,German,Bayern Recht (in German)
DE_275,MT_VG_Ansbach_-_AN_14_K_22.00468.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Ansbach_-_AN_14_K_22.00468.md,Germany,VG Ansbach (Germany),VG Ansbach - AN 14 K 22.00468,Article 2(2) GDPRArticle 6(1)(f) GDPRArticle 58 GDPR,"2,58",02/11/2022,,,,,,AN 14 K 22.00468,,,Unknown,German,openJur (in German)
DE_276,MT_VG_Berlin_-_1_K_187_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_1_K_187_21.md,Germany,VG Berlin (Germany),VG Berlin - 1 K 187/21,Article 15 GDPRArticle 15(1) GDPR,15,06/02/2024,,,,,,1 K 187/21,ECLI:DE:VGBE:2024:0206.1K187.21.00,,Unknown,German,Juris (in German)
DE_277,MT_VG_Berlin_-_1_K_391_20.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_1_K_391_20.md,Germany,VG Berlin (Germany),VG Berlin - 1 K 391/20,Article 91(1) GDPRArticle 91(2) GDPR,91,07/04/2022,,,,,Berliner Beauftragte für Datenschutz und Informationssicherheit,1 K 391/20,,,Unknown,German,VIS Berlin (in German)
DE_278,MT_VG_Berlin_-_1_K_561_21.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_1_K_561_21.md,Germany,VG Berlin (Germany),VG Berlin - 1 K 561/21,Article 4(1) GDPRArticle 15(3) GDPRArticle 17(3) GDPRArticle 18(1) GDPRArticle 58(2) GDPR§ 20(1) Berlin Data Protection Act§ 20(5) Berlin Data Protection Act,"4,15,17,18,58",12/10/2023,17/11/2023,,,,S-Bahn BerlinBerlin DPA,1 K 561/21,ECLI:DE:VGBE:2023:1012.1K561.21.00,,Unknown,German German,gesetze.berlin.de (in German) openjur.de (in German)
DE_279,MT_VG_Berlin_-_1_K_90.19.md,/Users/milos/Downloads/eurlextract/fast_scrape/machine_translations_md_clean/MT_VG_Berlin_-_1_K_90.19.md,Germany,VG Berlin (Germany),VG Berlin - 1 K 90.19,Article 15 GDPR§ 59 BDSG§ 113 (5) VwGO,15,31/08/2020,,,,,,1 K 90.19,ECLI:DE:VGBE:2020:0831.VG1K90.19.00,AG Tiergarten (Germany),,German German,gerichtsentscheidungen.berlin-brandenburg.de (in German) gerichtsentscheidungen.berlin-brandenburg.de (in German)
